# p_value  q_mean  sample  logical_failures
0.010 0.001 1 3247
0.010 0.001 2 3734
0.010 0.001 3 3631
0.010 0.001 4 2720
0.010 0.001 5 2880
0.010 0.001 6 2583
0.010 0.001 7 3510
0.010 0.001 8 3735
0.010 0.001 9 2563
0.010 0.001 10 3132
0.010 0.001 11 3986
0.010 0.001 12 3017
0.010 0.001 13 2818
0.010 0.001 14 5937
0.010 0.001 15 3057
0.010 0.001 16 3940
0.010 0.001 17 4505
0.010 0.001 18 2002
0.010 0.001 19 3774
0.010 0.001 20 3826
0.010 0.001 21 4541
0.010 0.001 22 3942
0.010 0.001 23 3028
0.010 0.001 24 4216
0.010 0.001 25 4111
0.010 0.001 26 3196
0.010 0.001 27 3784
0.010 0.001 28 3202
0.010 0.001 29 3822
0.010 0.001 30 2923
0.010 0.001 31 2912
0.010 0.001 32 3863
0.010 0.001 33 4795
0.010 0.001 34 4058
0.010 0.001 35 3427
0.010 0.001 36 4090
0.010 0.001 37 2745
0.010 0.001 38 3150
0.010 0.001 39 3376
0.010 0.001 40 2710
0.010 0.001 41 3546
0.010 0.001 42 4493
0.010 0.001 43 5006
0.010 0.001 44 5235
0.010 0.001 45 5536
0.010 0.001 46 3392
0.010 0.001 47 3191
0.010 0.001 48 2982
0.010 0.001 49 3192
0.010 0.001 50 3945
0.010 0.001 51 4254
0.010 0.001 52 2655
0.010 0.001 53 2775
0.010 0.001 54 2744
0.010 0.001 55 4327
0.010 0.001 56 3338
