n_epochs	rep	num_failures	average_LER	std_LER	runtime_s	log_file
5	1	2182	0.02182	0.014609547426255202	231.21732306480408	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_5_rep_1.log
5	2	2125	0.02125	0.014421663392272058	235.82902097702026	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_5_rep_2.log
5	3	2169	0.02169	0.014566929635307504	230.26508212089539	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_5_rep_3.log
10	1	2201	0.02201	0.014671591563289921	271.9176161289215	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_10_rep_1.log
10	2	2211	0.02211	0.014704131358227185	478.00713992118835	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_10_rep_2.log
10	3	2106	0.02106	0.014358438773070003	1848.9907019138336	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_10_rep_3.log
15	1	2873	0.02873	0.01670466614452381	312.85737586021423	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_15_rep_1.log
15	2	2871	0.02871	0.016699022695954396	310.6163818836212	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_15_rep_2.log
15	3	2071	0.02071	0.014241171265032944	308.71161699295044	/Users/pavi/Documents/IQC/CorrelatedBPDecoderWithCER/expts/sweep_results/20260427_160354/epochs_15_rep_3.log
