# p_value  q_mean  sample  logical_failures
0.006 0.10 1 40
0.006 0.10 2 50
0.006 0.10 3 45
0.006 0.10 4 43
0.006 0.10 5 34
0.006 0.10 6 41
0.006 0.10 7 44
0.006 0.10 8 45
0.006 0.10 9 35
0.006 0.10 10 42
0.006 0.10 11 39
0.006 0.10 12 46
0.006 0.10 13 52
0.006 0.10 14 41
0.006 0.10 15 47
0.006 0.10 16 34
0.006 0.10 17 27
0.006 0.10 18 27
0.006 0.10 19 59
0.006 0.10 20 33
0.006 0.10 21 39
0.006 0.10 22 46
0.006 0.10 23 40
0.006 0.10 24 39
0.006 0.10 25 32
0.006 0.10 26 27
0.006 0.10 27 33
0.006 0.10 28 56
0.006 0.10 29 45
0.006 0.10 30 55
0.006 0.10 31 45
0.006 0.10 32 49
0.006 0.10 33 45
0.006 0.10 34 39
0.006 0.10 35 43
0.006 0.10 36 41
0.006 0.10 37 32
0.006 0.10 38 40
0.006 0.10 39 41
0.006 0.10 40 33
0.006 0.10 41 46
0.006 0.10 42 37
0.006 0.10 43 51
0.006 0.10 44 35
0.006 0.10 45 33
0.006 0.10 46 44
0.006 0.10 47 38
0.006 0.10 48 37
0.006 0.10 49 43
0.006 0.10 50 34
0.006 0.10 51 22
0.006 0.10 52 38
0.006 0.10 53 47
0.006 0.10 54 55
0.006 0.10 55 38
0.006 0.10 56 39
